ReportId,RepCode,Name - Native,Name - English,Dir,PPA_Cutoff,Top_Cutoff,Type,Restrictions?,Region,SubRegionID,Country,NewCode,Keywords,Name_Native_Letter,Name_Native_Companies,Name_Native_Industry,Name_Native_Descriptive,Sect_Primary,Sect_Secondary,UK_Assoc1 to 20,PW_Assoc1 to 20,FR_Assoc1 to 20,IT_Assoc1 to 20,SP_Assoc1 to 20,NO_Assoc1 to 20,GE_Assoc1 to 20,RU_Assoc1 to 20,MultiCountry,Date_Last_Edited,Marketing_Description_Native,Marketing_Description_English,Report_Definition_Native,Report_Definition_English,Top3_1,Top3_2,Top3_3,Top20_1,Top20_2,Top20_3,Top20_4,Top20_5,Top20_6,Top20_7,Top20_8,Top20_9,Top20_10,Top20_11,Top20_12,Top20_13,Top20_14,Top20_15,Top20_16,Top20_17,Top20_18,Top20_19,Top20_20,AT_Assoc1 to 20
10206,AGDE,,Agricultural Machinery Dealers,G:\AGDEEURO\,1000,,Normal,False,3,2,,PWAGREPM1B,Agricultural;Agriculture;tractor;dealers;tractors;agri;farm;agriculture;farming;arable;crop;plough;cultivation;cultivator;dealing;development;agri-machinery,,Agricultural Machinery Dealers,Agricultural Machinery Dealers Industry,,Agri,Deal,,,,,,,,,,01/03/2011 00:00:00,,,,,,,,10207,10208,4804,12659,10209,19531,19567,10548,10398,5923,9363,11248,9868,13688,7,8,4805,10206,14530,9866,,
10207,AGDG,,Agricultural Machinery Dealers,G:\AGDEGLOB\,1000,,Normal,False,3,1,,PWAGREPM1A,Agricultural;Agriculture;tractor;dealers;tractors;agri;farm;agriculture;farming;arable;crop;plough;cultivation;cultivator;dealing;development;agri-machinery,,Agricultural Machinery Dealers,Agricultural Machinery Dealers Industry,,Agri,Deal,,,,,,,,,,20/08/2015 00:00:00,,Companies involved in the import; export and distribution of agricultural machinery and equipment,,Agricultal machinery dealers include importers; exporters; wholesalers and retail distributors of agricultural machinery and equipment,10360,,,10206,10208,7,10209,10319,14530,4804,9866,9867,9868,,,,,,,,,,,,
10208,AGMA,,Agricultural Machinery Manufacturers,G:\AGMAMANU\,1000,,Normal,False,3,1,,PWAGREPM3A,Agricultural;tractor;tractors;agri;farm;agriculture;agricultural;agri;farming;arable;crop;plough;cultivation;cultivator;agri-machinery,,Agricultural Machinery Manufacturers,Agricultural Machinery Manufacturing Industry,,Agri,Mana,,,,,,,,,,19/08/2015 00:00:00,,Companies involved in the manufacturing of agricultural machinery and equipment,,Agricultural equipment is any kind of machinery used on a farm to help with farming. This includes tractors; tillage; sowing; planting; chemical spraying; chemical fertilising; grain harvesting; straw handling; crop transport; crop drying; crop storage; crop cleaning and weighing; irrigation and drainage; dairy farming; livestock farming; waste handling; forestry machinery; soil cultivation; planting; fertilising and pest control; irrigation; produce sorting; harvesting; hay making; loading; milking and an,,,,10207,10209,12659,16781,10296,10360,10560,10319,10363,10347,14530,4804,9866,9867,9868,4805,,,,,,
10209,AGME,,Agricultural Machinery Manufacturers,G:\AGMAEURO\,1000,,Normal,True,3,2,,PWAGREPM3B,Agricultural;tractor;tractors;agri;farm;agriculture;agricultural;agri;farming;arable;crop;plough;cultivation;cultivator;agri-machinery,,Agricultural Machinery Manufacturers,Agricultural Machinery Manufacturing Industry,,Agri,Mana,,,,,,,,,,07/03/2016 00:00:00,,Companies involved in the manufacturing of agricultural machinery and equipment,,Agricultural equipment is any kind of machinery used on a farm to help with farming. This includes tractors; tillage; sowing; planting; chemical spraying; chemical fertilising; grain harvesting; straw handling; crop transport; crop drying; crop storage; crop cleaning and weighing; irrigation and drainage; dairy farming; livestock farming; waste handling; forestry machinery; soil cultivation; planting; fertilising and pest control; irrigation; produce sorting; harvesting; hay making; loading; excludes milki,,,,14530,4804,9866,9867,9868,,,,,,,,,,,,,,,,,
10211,AGCG,,Air & Gas Compressor Manufacturers,G:\AIRGASCG\,1000,,Normal,False,3,1,,PWENGSPM4A,compressor;compressors;air;and;gas; air and gas compressors; air compression; gas compression; air compressor; gas compressor,,Air & Gas Compressor Manufacturers,Air & Gas Compressor Manufacturers Industry,,Engi,Mach,,,,,,,,,,02/08/2017 09:21:05,,Companies involved in the design and manufacture of industrial compressors and compression technologies,,A compressor is a device used to increase the pressure of a gas by mechanically decreasing its volume; this can be done by either using air or gas. A compressor can also be used to produce compressed air that will then be used to power different devices or machines. This report contains companies that are involved in manufacturing either air compressors; gas compressors or both; this excludes any companies that only supply or sell compressors.,10445,,,10212,10210,452,10368,10497,11599,10421,10395,10397,10303,10362,10425,3973,14397,4953,6083,16229,10211,13623,4953,,
10212,AGCM,,Air & Gas Compressor Manufacturers,G:\AIRGASCE\,1000,,Normal,False,3,2,,PWENGSPM4C,compressor;compressors;air;and;gas; air and gas compressors; air compression; gas compression; air compressor; gas compressor,,Air & Gas Compressor Manufacturers,Air & Gas Compressor Manufacturers Industry,,Engi,Mach,,,,,,,,,,03/08/2017 19:36:43,,Companies involved in the design and manufacture of industrial compressors and compression technologies,,A compressor is a device used to increase the pressure of a gas by mechanically decreasing its volume; this can be done by either using air or gas. A compressor can also be used to produce compressed air that will then be used to power different devices or machines. This report contains companies that are involved in manufacturing either air compressors; gas compressors or both; this excludes any companies that only supply or sell compressors.,10211,452,,10210,10393,4953,6083,16229,10212,13623,4953,22581,,,,,,,,,,,,,
10493,PRIV,,Air Charter,G:\PRIVCHAR\,1000,,Normal,False,3,1,,PWTRAAIM2B,plane;aeroplane;airline;planes;flight;airlines;air;aeroplanes;space;aerospace;air;transportation;scheduled;passenger;airlines;non;scheduled;domestic;airlines;air;carrier;Low;fare;airline;Low-Cost;Airline;Low;cost;Airline;low;cost;airlines;lowcost;airline;budget;airline;budget;airlines;Cheap;Airline;plane;aeroplane;airline;planes;flight;airlines;air;aeroplanes;space;aerospace,,Private Charter Airline Companies,Private Charter Airline Industry,,Tran,Air,,AR10W;AIRL,,,,,,,,31/08/2016 00:00:00,,Companies involved in the business of Private Charter Air Services,,Air charter is the business of renting an entire aircraft (i.e.; chartering) as opposed to individual aircraft seats (i.e.; purchasing a ticket through a traditional airline). While the airlines specialize in selling transportation by the seat; air charter companies focus on individual private aircraft and itineraries; urgent or time-sensitive cargo; air ambulance service; and other forms of ad hoc air transportation. Some air charter companies offer a large variety of aircraft; such as helicopters and bus,,,,4039,10471,1329,1334,14548,,,,,,,,,,,,,,,,,
22276,PRIVE,,Air Charter,G:\AIRCHARE\,1000,0,Normal,False,3,2,,PWTRAAIM18A,,,Air Charter companies,Air Charter Industry,,Aero,Tran,,,,,,,,,,23/08/2018 00:00:00,,Companies involved in the business of Private Charter Air Services,,Air charter is the business of renting an entire aircraft (i.e.; chartering) as opposed to individual aircraft seats (i.e.; purchasing a ticket through a traditional airline). While the airlines specialize in selling transportation by the seat; air charter companies focus on individual private aircraft and itineraries; urgent or time-sensitive cargo; air ambulance service; and other forms of ad hoc air transportation. Some air charter companies offer a large variety of aircraft; such as helicopters and business jets. Charter jet categories include turbo props; light jets; mid-size jets; super mid-size jets; heavy jets; and airliners.,,,,,,,,,,,,,,,,,,,,,,,,,
10210,ARFI,,Air Filtration Equipment Manufacturers,G:\AIRFILTM\,1000,,Normal,True,3,1,,PWENGMAM33A,air;filters;filtration;HVAC;air;conditioning;valves;purify;offices; ,,Air Filtration Equipment Manufacturers,Air Filtration Equipment Manufacturing Industry,,Buil,Heat,,,,,,,,,,01/05/2011 00:00:00,,,,,10231,,,10211,4230,10393,10282,4986,,,,,,,,,,,,,,,,,
24890,ARGN,,Air Guns,G:\AIRGUNS\,1000,0,Normal,False,3,1,,PWLEIRSN50B,,,Air Gun Manufacturers,Air Gun Industry,,Leis,Spec,,,,,,,,,,09/07/2021 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25096,PUM1,,Air Source Heat Pumps,G:\AIRSOUHP\,1000,0,Normal,False,3,2,,PWENEPDM179A,air source heat pump; air-air; air-water; renewable energy; heat pump; air conditioning,,Air Source Heat Pump Companies,Air Source Heat Pump Industry,,Ener,Equi,,,,,,,,,,08/10/2021 00:00:00,,Companies involved in the design and manufacture of air source heat pumps,,ait-air heat pump; air-water heat pump;,,,,,,,,,,,,,,,,,,,,,,,,,
10213,AEEQ,,Aircraft Engine & Equipment Manufacturers,G:\AIRENGEQ\,1000,,Normal,True,3,1,,PWENGMAM3B,air;aircraft;air;craft;engine;part;parts;components;equipment;manufacture;manufacturing;aviation;interior;design;build;plane;aerospace; ,,Aircraft Engine & Equipment Manufacturers,Aircraft Engine & Equipment Manufacturing Industry,,Aero,Buil,,,,,,,,,,01/10/2012 00:00:00,,,,,,,,10337,10471,5921,4811,,,,,,,,,,,,,,,,,,
25074,AIR1,,Aircraft Leasing,G:\AIRLEAPW\,1000,0,Normal,False,3,1,,PWTRAAIM21A,aircraft leasing; aircraft rental; aircraft brokerage; aircraft rental company,,Aircraft Leasing Companies,Aircraft Leasing Industry,,Aero,Tran,,,,,,,,,,24/09/2021 00:00:00,,Companies providing wet & dry leasing of aircraft,,Aircraft leases are leases used by airlines and other aircraft operators. Airlines lease aircraft from other airlines or leasing companies for two main reasons: to operate aircraft without the financial burden of buying them; and to provide temporary increase in capacity.,,,,,,,,,,,,,,,,,,,,,,,,,
24889,ATYR,,Aircraft Tyres,G:\AIRTYRES\,1000,0,Normal,False,3,1,,PWENGMAM103A,,,Aircraft Tyre Companies,Aircraft Tyre Industry,,Aero,Aero,,,,,,,,,,09/07/2021 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10215,AIRF,,Airfreight Carriers,G:\AIRFREIG\,1000,,Normal,True,3,1,,PWTRAAIM1A,air;aircraft;air;craft;engine;part;parts;components;equipment;manufacture;manufacturing;aviation;interior;design;build;plane;aerospace;carrier;freight;haulage,,Airfreight Carriers,Airfreight Carriers Industry,,Tran,Air,,AIRE;FREI,,,,,,,,01/01/2011 00:00:00,,,,,,,,10214,10353,10471,,,,,,,,,,,,,,,,,,,
10838,AIRC,,Airline Catering,G:\AIRLCATG\,1000,,Normal,True,3,1,,PWTRAAIM3A,,,Airline Catering Companies,Airline Catering Industry,,Food,Cate,,,,,,,,,,03/07/2015 00:00:00,,Companies that provide the food and beverages for inflight catering services,,An airline meal or in-flight meal is a meal served to passengers on board a commercial airliner. These meals are prepared by airline catering services. These meals vary widely in quality and quantity across different airline companies and classes of travel.,10471,,,1329,1334,10215,4039,10493,11628,10348,10216,4813,,,,,,,,,,,,,
22275,IN90E,,Airport Security,G:\AIRSECUE\,1000,0,Normal,False,3,2,,PWSERSYM55A,,,Airport Security companies,Airport Security Industry,,Aero,Secu,,,,,,,,,,23/08/2018 00:00:00,,Companies involved in the airport security industry,,Airport security equipment refers to the equipment used to assist in protecting passengers; staff and aircraft which use the airports from accidental/malicious harm; crime and other threats.,,,,5231,22246,,,,,,,,,,,,,,,,,,,,
3987,IN90W,,Airport Security Equipment Manufacturers,G:\ASEQGLOB\,1000,,Normal,True,3,1,,PWENGMAM3C,air;airport;security;equipment;scanner;passport;control,,Airport Security Equipment Manufacturers,Airport Security Equipment Manufacturing Industry,,Secu,Air,,AITG;SECU,,,,,,,,29/12/2015 00:00:00,,companies involved in the Airport Security industry,,Airport security equipment refers to the equipment used to assist in protecting passengers; staff and aircraft which use the airports from accidental/malicious harm; crime and other threats.,,,,10217,10516,,,,,,,,,,,,,,,,,,,,
11628,AIRP,,Airports,G:\AIRPORTS\,1000,,Normal,False,3,1,,PWTRAAIM7A,,,Airports,Airports,,Tran,Air,,,,,,,,,,21/06/2017 00:00:00,,Companies involved in the ownership and operation of airports for passenger and cargo traffic,,An airport is an aerodrome with facilities for commercial aviation flights to take off and land. Airports often have facilities to store and maintain aircraft; and a control tower. An airport consists of a landing area; which comprises an aerially accessible open space including at least one operationally active surface such as a runway for a plane to take off or a helipad; and often includes adjacent utility buildings such as control towers; hangars and terminals. Larger airports may have fixed base opera,,,,1329,1334,10471,10217,14548,4813,,,,,,,,,,,,,,,,
22274,AIRPE,,Airports,G:\AIRPORTE\,1000,0,Normal,False,3,2,,PWTRAAIM17A,,,Airport Operators,Airports Industry,,Tran,Air,,,,,,,,,,23/08/2018 00:00:00,,Companies involved in the ownership and operation of airports for passenger and cargo traffic,,An airport is an aerodrome with facilities for commercial aviation flights to take off and land. Airports often have facilities to store and maintain aircraft; and a control tower. An airport consists of a landing area; which comprises an aerially accessible open space including at least one operationally active surface such as a runway for a plane to take off or a helipad; and often includes adjacent utility buildings such as control towers; hangars and terminals. Larger airports may have fixed base operator services; airport aprons; air traffic control centres; passenger facilities such as restaurants and lounges; and emergency services.,,,,,,,,,,,,,,,,,,,,,,,,,
