ReportId,RepCode,Name - Native,Name - English,Dir,PPA_Cutoff,Top_Cutoff,Type,Restrictions?,Region,SubRegionID,Country,NewCode,Keywords,Name_Native_Letter,Name_Native_Companies,Name_Native_Industry,Name_Native_Descriptive,Sect_Primary,Sect_Secondary,UK_Assoc1 to 20,PW_Assoc1 to 20,FR_Assoc1 to 20,IT_Assoc1 to 20,SP_Assoc1 to 20,NO_Assoc1 to 20,GE_Assoc1 to 20,RU_Assoc1 to 20,MultiCountry,Date_Last_Edited,Marketing_Description_Native,Marketing_Description_English,Report_Definition_Native,Report_Definition_English,Top3_1,Top3_2,Top3_3,Top20_1,Top20_2,Top20_3,Top20_4,Top20_5,Top20_6,Top20_7,Top20_8,Top20_9,Top20_10,Top20_11,Top20_12,Top20_13,Top20_14,Top20_15,Top20_16,Top20_17,Top20_18,Top20_19,Top20_20,AT_Assoc1 to 20
5917,SPMI10,AGENCIAS DE PUBLICIDAD,ADVERTISING AGENCIES,H:\agpubli\,3000,100,Normal,True,4,,133,SPMEDCMM1A,publicidad; marketing; diseño; agencia; digital; diseño web; creativas; medios; agencias; campaña de publicidad; campaña publicitaria; campañas publicitarias,Agencias de publicidad,de las agencias de publicidad,,,Aero,Acco,,,,,,,,,,18/12/2016 00:00:00,Las empresas analizadas en el informe se dedican a la planificación y ejecución de campañas publicitarias; y prestan servicios relacionados con estas actividades.,The companies analysed in the report are involved in the preparation and execution of advertising campaigns and offer services relating to these activities.,empresas que ofrecen servicios de publicidad,companies providing advertising services,6142,10201,6141,1054,1072,1064,1058,5974,6159,16388,18371,6193,6011,5955,10202,11224,10426,4798,19732,6116,6198,18362,6166,,
16684,SPAGNM,AGENCIAS DE PUBLICIDAD (SIN AGENCIAS DE MEDIOS),ADVERTISING AGENCIES (NO MEDIA PLANNING),H:\agpublnm\,3000,100,Normal,True,4,,,SPMEDCMM1B,,Agencias de publicidad (Sin agencias de medios),de las agencias de publicidad,,,Medi,Mark,,,,,,,,,,12/10/2016 09:57:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26710,SPCPUB,PRODUCCIÓN DE CINE PUBLICITARIO,ADVERTISING FILM PRODUCTION,H:\cinepub\,1000,100,Normal,True,4,,,SPMEDBGN46B,cine; publicidad; spot; spot publicitario; productora de cine publicitario; producción de cine publicitario; cine publicitario; APCP,Producción de cine publicitario,de la producción de cine publicitario,,,Aero,Acco,,,,,,,,,,04/07/2022 00:00:00,Las empresas analizadas en el informe se dedican a la producción de cine publicitario.,The companies analysed in the report are advertising producers.,Empresas dedicadas a la producción de cine publicitario; asociadas a la APCP pero no exclusivamente.,Advertising producers; members of the Spanish APCP but not only;,6056,6011,5917,6054,6055,9470,9469,10341,4934,24864,1073,1069,1068,1095,14818,6519,19638,19814,9357,24995,10201,4800,4798,,
13970,SPELEV,ALQUILER DE PLATAFORMAS DE ELEVACIÓN,AERIAL WORK PLATFORMS,H:\platele\,3000,10,Normal,True,4,,133,SPCONTCM27A,plataforma d e elevación; plataforma aérea; maquinaria de elevación; acceso; trabajo en altura; plataforma vertical; construcción,Alquiler de plataformas de elevación,del alquiler de plataformas de elevación,,,Buil,PrEq,,,,,,,,,,08/09/2015 00:00:00,Las compañías analizadas en el informe alquilan plataformas de elevación.,The companies analysed in the report hire access platforms.,Empresas dedicadas al alquiler de plataformas de elevación; principalmente para el sector de la construcción.,Companies hiring access platforms; mainly for the construction industry.,6213,6008,6006,6016,14756,14758,14923,9360,226,5407,22002,18183,,,,,,,,,,,,,
5920,SPCI04,AEROSOLES,AEROSOLS,H:\aerosol\,3000,25,Normal,True,4,,133,SPCHECHM3A,aerosoles; aerosoles; productos en aerosol; envases metálicos ligeros; spray; válvulas para aerosol; llenado de aerosoles; aerosoles industriales; envasadores de aerosoles,Aerosoles,de los aerosoles,,,Aero,Acco,,,,,,,,,,11/01/2015 00:00:00,Las empresas analizadas en el informe trabajan en los distintos sectores de la industria del aerosol: fabricantes de productos en aerosol; de envases y envasadores de productos en aerosol propios y de terceros.,The companies analysed in the report are involved in the different sectors of the aerosol industry: manufacturers of aerosol products; containers and packers of their own or others' aerosol products.,Empresas de los distintos sectores de la industria del aerosol: fabricantes de productos en aerosol (cosméticos; pinturas; químicos; etcétera); de envases y envasadores de productos en aerosol propios y de terceros. Incluye a los socios de AEDA pero no se limita a ellos.,Companies in the different sectors of the aerosol industry: manufacturers of aerosol products (cosmetics; paints; chemicals; etcetera); of packaging and packers of their own or others' aerosol products. Includes members of AEDA but it is not limited to them.,13999,,,5912,5922,5988,5916,80,6178,5208,57,64,5161,4928,10268,14763,5952,,,,,,,,
5921,SPEG05,AERONÁUTICA,AEROSPACE,H:\aeron\,3000,100,Normal,True,4,,133,SPENGMAM3A,aeroespacial; aviones; ingeniería; aviación; diseño; aviónica; militares; mantenimiento; compuesto; aero; aeronáutica; aeronáutico; aeronave,Aeronáutica,aeronáutico,,,Aero,Acco,,,,,,,,,,25/05/2016 09:22:48,Las empresas analizadas en el informe prestan servicios de ingeniería; fabricación y mantenimiento en el sector aeronáutico.,The companies analysed in the report offer engineering; manufacturing and maintenance services in the aerospace industry.,Empresas de ingeniería aeronáutica; fabricación de piezas para la industria aeronáutica y aeroespacial y reparación y mantenimiento de aeronaves.,Includes companies offering services relating to design; engineering; manufacturing and maintenance of all types of aircraft.,13991,10213,14034,456,500,3973,4810,14213,16834,4845,6042,6009,15123,18088,14096,5951,5926,10471,6258,6050,6228,,,,
24797,SPZZ16,TRATAMIENTO DE SUPERFICIES AERONÁUTICAS,AEROSPACE METAL TREATMENTS,H:\aerosurf\,3000,100,Normal,True,4,,,SPMETSEN22B,tratamiento; tratamientos; recubrimiento; recubrimientos; anodizado; aeronaves; aviones; aeronáutico; aeronáutica; metalizado; anticorrosivo; antioxidante; granallado; acabado; acabados,Tratamiento de superficies aeronáuticas,del tratamiento de superficies aeronáuticas,,,Engi,Spec,,,,,,,,,,07/06/2021 00:00:00,Las empresas analizadas en el informe realizan trabajos de tratamiento de superficies para el sector aeronáutico.,The companies analysed in the report provide metal treatment and coating services for the aerospace sector.,,Companies specialised in all types of metal coatings and treatments (works only) for the aerospace industry.,5998,5921,14096,23974,14078,6248,6202,6157,6167,16587,13982,5927,13979,6241,6247,6050,5951,6010,9554,10024,16543,1120,5257,,
5922,SPAA12,VENTA DE PRODUCTOS FITOSANITARIOS,AGRI-CHEMICALS,H:\fitosvta\,3000,100,Normal,True,4,,133,SPCHECHM4A,pesticidas; pesticidas; productos pesticidas; industria pesticidas; venta pesticidas; fitosanitario; productos fitosanitarios,Venta de productos fitosanitarios,de la venta de productos fitosanitarios,,,Aero,Acco,,,,,,,,,,22/08/2016 00:00:00,Las empresas analizadas en el informe se dedican a la venta de productos fitosanitarios y pesticidas.,The companies analysed in the report are involved in the commerce of phytosanitary products and pesticides.,empresas que venden productos fitosanitarios,companies selling agri-chemicals,5988,18049,6053,13975,10268,4064,10205,4801,5,9361,10169,13763,19677,10340,14089,6232,14171,13986,5923,16874,,,,,
6232,SPAA38,VENTA DE SEMILLAS Y PRODUCTOS PARA LA AGRICULTURA,AGRICULTURAL MERCHANTS,H:\semvta\,3000,100,Normal,True,4,,133,SPAGREPN4B,semillas; semillas; flores; huerto; orgánico; cultivo; girasoles; jardín; plantas perennes; la agricultura; grano; semilla oleaginosa,Venta de semillas y productos para la agricultura,de la venta de semillas y productos para la agricultura,,,Aero,Acco,,,,,,,,,,06/04/2016 10:03:01,Las compañías analizadas en el informe comercializan y suministran productos utilizados en la agricultura.,The companies analysed in the report trade and supply products used in agriculture.,El informe incluye empresas que comercializan y suministran productos utilizados en la agricultura; como semillas; piensos para animales; cereales y forrajes (como la alfalfa); fertilizantes y productos para la protección de cultivos y la nutrición vegetal. Estas empresas suelen vender exclusivamente a agricultores profesionales en un entorno B2B.  Se excluyen: empresas que prestan servicios agrícolas (cultivo de tierras; tratamiento del suelo; etc.); la venta de frutas y hortalizas; alimentos para mascotas; aceites vegetales; grasas animales; maquinaria agrícola y ferretería.,The report includes companies trading and supplying products used in agriculture such as seeds; animal feeds; cereals and forage (such as alfalfa); fertilisers and products for crop protection and plant nutrition. Companies will usually sell only to professional farmers on a B2B basis. Excludes: companies providing agricultural services (land cultivation; soil treatment etc); sale of fruits and vegetables; pet food; vegetable oils; animal fats; agricultural machinery and hardware.,,,,9,21,10373,,,,,,,,,,,,,,,,,,,
24174,SPAG02,SUSTRATOS AGRÍCOLAS,AGRICULTURAL SUBSTRATES,H:\sustrato\,1000,100,Normal,True,4,,,SPAGREPM61A,sustratos; sustratos de cultivo; sustratos agrícolas; fibra de coco; turba; humus de lombriz; vermiculita; sustratos profesionales,Sustratos agrícolas,de los sustratos agrícolas,,SUSTRATOS AGRÍCOLAS,Agri,Prod,,,,,,,,,,23/09/2020 00:00:00,Las empresas analizadas en el informe se dedican a la fabricación y comercialización de sustratos agrícolas.,The companies analysed in the report are specialised in the production and distribution of agricultural substrates.,,,,,,,,,,,,,,,,,,,,,,,,,,,
14094,SPAGRO,LABORATORIOS AGROALIMENTARIOS,AGRI-FOOD LABORATORIES,H:\llabanim\,3000,75,Normal,True,4,,133,SPPROSEM9B,laboratorio; laboratorio agroalimentario; laboratorios agroalimentarios; control de alimentos; análisis agroalimentarios; industria alimentaria,Laboratorios agroalimentarios,de los laboratorios agroalimentarios,,,Aero,Acco,,,,,,,,,,02/02/2017 16:17:29,El informe analiza laboratorios agroalimentarios.,The report analyses agri-food laboratories.,Laboratorios agroalimentarios; acreditados o no por la ENAC. Excluye laboratorios enológicos y aquellos dedicados exclusivamente al control de aguas.,Agri-food laboratories; accredited or not by the ENAC. The report excludes oenological labs and those specialised in water control.,,,,,,,,,,,,,,,,,,,,,,,,,
5923,SPAA20,FABRICANTES DE MAQUINARIA AGRÍCOLA,AGRI-MACHINERY MANUFACTURERS,H:\agrimaqu\,3000,100,Normal,True,4,,133,SPAGREPM3A,agricultura; tractores; maquinaria; maquinaria agrícola; maquinaria fitosanitaria; tractor; abonadora; sembradora; aperos,Fabricantes de maquinaria agrícola,de la maquinaria agrícola,,,Aero,Acco,,,,,,,,,,11/01/2015 00:00:00,Las empresas analizadas en el informe son fabricantes de maquinaria agrícola.,The companies analysed in the report are manufacturers of agricultural machinery.,Empresas dedicadas a la fabricación de maquinaria agrícola y fitosanitaria.,Companies manufacturing agricultural and phytosanitary machinery.,14756,13975,6232,5923,12659,8,6066,7,14975,34,4805,23016,5113,10209,10207,10206,9363,9867,,,,,,,
5925,SPCS18,FABRICANTES DE EQUIPOS DE AIRE ACONDICIONADO,AIR CONDITIONING EQUIPMENT & SYSTEMS,H:\aircofab\,3000,100,Normal,True,4,,133,SPCONPSM87A,aire acondicionado; calefacción; ventilación; climatización; refrigeración; refrigeración; aire; mantenimiento; comercial,Fabricantes de equipos de aire acondicionado,de la fabricación de equipos de aire acondicionado,,,Aero,Acco,,,,,,,,,,02/02/2015 00:00:00,,,empresas dedicadas a la fabricación y distribución de equipos y sistemas de aire acondicionado,companies manufacturing and supplying air conditioning equipment and systems,14756,14143,,13991,5951,14034,715,6284,5924,18091,,,,,,,,,,,,,,,
5924,SPCS05,INSTALACIÓN DE AIRE ACONDICIONADO Y CLIMATIZACIÓN,AIR CONDITIONING INSTALLATION,H:\airco\,3000,100,Normal,True,4,,133,SPCONPSM87D,aire acondicionado; climatización; instaladores aire acondicionado; mantenimiento aire acondicionado; clima; instalación de aire acondicionado; instalación climatización; fontanería; energía; air conditioning; acondicionamiento,Instalación de aire acondicionado y climatización,de la instalación de aire acondicionado y climatización,,,Aero,Acco,,,,,,,,,,17/03/2010 00:00:00,Las empresas analizadas en el informe prestan servicios de instalación de climatización y aire acondicionado.,The companies analysed in the report provide air conditioning installation services.,empresas de instalación de aire acondicionado y climatización,companies installing air conditioning,5925,5984,6284,5924,715,14143,14022,14019,5962,6026,4807,4808,9696,13811,201,4229,4230,,,,,,,,
16196,SPAIRF,BROKERAGE AÉREO,AIR FREIGHT BROKERAGE,H:\airfre\,3000,100,Normal,True,4,,133,SPTRAAIM1A,logística; importación; exportación; transporte; envío; carga; transporte aéreo; flete aéreo; transporte aéreo de mercancías,Brokerage aéreo,de brokerage aéreo,,,,,SD05,,,,,,,,,02/02/2016 00:00:00,,,empresas que prestan servicios de transporte aéreo de mercancías,companies providing air freight services,,,,5926,,,,,,,,,,,,,,,,,,,,,
13976,SPAIRS,RESERVA ONLINE DE VUELOS,AIRLINE SEATING,H:\airseat\,3000,100,Normal,True,4,,133,SPTRAAIM4A,vuelo; vuelos baratos; reserva online; reserva online vuelos,Reserva online de vuelos,de reserva online de vuelos,,,,,SD08,,,,,,,,,02/02/2016 00:00:00,,,empresas que prestan servicios de reserva online de vuelos,companies providing online flight reservations,,,,5926,,,,,,,,,,,,,,,,,,,,,
13978,SPHAN1,SERVICIOS AEROPORTUARIOS Y HANDLING,AIRPORT HANDLING,H:\handling\,3000,25,Normal,True,4,,133,SPTRAAIM5A,aeropuerto; aeroportuario; servicios aeropuerto; servicios aeroportuarios; handling,Servicios aeroportuarios y hanlding,de los servicios aeroportuarios y handling,,,,,,,,,SPALTR;SPCZ36;,,,,,21/06/2014 00:00:00,,,empresas que prestan servicios aeroportuarios y servicios de handling,companies providing airport and baggage handling services,,,,13979,5928,10217,5926,,,,,,,,,,,,,,,,,,
29807,SPPG66,ELABORACIÓN DE VINOS DE ALENTEJO (Portugal),ALENTEJO WINE PRODUCERS (Portugal),H:\SPPG66\,1000,100,Normal,True,4,,,SPDRIALM15L,vino; Alentejo; douro; denominación de origen; producción de vino; viticultura,Elaboración de vinos del Alentejo (Portugal),de la elaboración de vinos del Alentejo,,,Drin,Alco,,,,,,,,,,01/07/2025 00:00:00,Las empresas analizadas en el informe se dedican a la elaboración y crianza de vinos del Alentejo,The companies analysed in the report are specialised in the production of all particularly type of wine from Alentejo,Productores certficados de vinos de Alentejo,Certified producers of Alentejo wines.,18130,18386,6290,22999,10528,10575,9703,,,,,,,,,,,,,,,,,,
16864,SPALMD,ALMENDRAS,ALMONDS,H:\almond\,3000,3000,Normal,True,4,,,SPFOORSM25B,almendra; almendras; frutos secos; nuts; almond; ametlla; descascarado,Almendras,de la almendra,,,Agri,Agri,,,,,,,,,,30/01/2023 00:00:00,Las empresas analizadas en el informe incluyen productores y distribuidores de almendras.,The companies analysed in the report include almond producers and suppliers.,Empresas productoras y distribuidoras de almendras.,Producers and suppliers of almonds.,,,,,,,,,,,,,,,,,,,,,,,,,
13982,SPANOD,ANODIZADO DE ALUMINIO,ALUMINIUM ANODISING,H:\anodis\,3000,100,Normal,True,4,,133,SPMETPDM7A,anodizado; aluminio; anodisers; anodizado de color; acabado de metales; anodizado; anodizado duro; perfiles de aluminio; pulido; fabricación de aluminio,Anodizado de aluminio,del anodizado de aluminio,,,Aero,Acco,,,,,,,,,,06/07/2015 00:00:00,,,empresas que prestan servicios de anodización,companies providing anodising services,,,,,,,,,,,,,,,,,,,,,,,,,
16587,SPALUC,LACADO DE ALUMINIO,ALUMINIUM COATING,H:\alumino\,2000,2000,Normal,True,4,,,SPMETPDM3B,aluminio; lacado de aluminio; lacado; lacado de metales; planta de lacado; pintura al horno; lacado al horno; pintura en polvo; tratamiento del metal; recubrimiento de metales,Lacado de aluminio,del lacado de aluminio,,,Chem,Chem,,,,,,,,,,21/06/2016 00:00:00,Las empresas analizadas en el informe se dedican al lacado de aluminio y otros metales.,The companies analysed in the report are involved in the coating of aluminium and other metals.,Empresas dedicadas al lacado de aluminio y otros metales.,Companies involved in the coating of aluminium and other metals.,13982,5927,5998,10024,4293,9614,14794,10468,1121,9710,23431,,,,,,,,,,,,,,
5928,SPCZ36,VENTANAS DE ALUMINIO,ALUMINIUM FRAMED WINDOWS,H:\carpmet\,3000,100,Normal,True,4,,133,SPCONPSM99A,Cerramientos en aluminio; ventanas de aluminio; marco de aluminio; escaparate de aluminio; carpinteria de aluminio,Ventanas de aluminio,de la fabricación de ventanas y carpintería metálica,,,Aero,Acco,,,,,,,,,,10/01/2010 00:00:00,Las compañías analizadas en el informe fabrican y comercializan ventanas y carpintería de aluminio.,The companies analysed in the report manufacture and distribute aluminium joinery and framed windows.,Empresas dedicadas a la fabricación de ventanas y carpintería de aluminio.,Companies manufacturing aluminium joinery and framed windows.,,,,,,,,,,,,,,,,,,,,,,,,,
5927,SPMT06,PRODUCCIÓN  DE ALUMINIO,ALUMINIUM PRODUCTION,H:\prodalu\,3000,100,Normal,True,4,,133,SPMETPDM5A,aluminio; fabricación de aluminio; extrusión de aluminio; extrusión; extrusionado; anodizado; lacado; tratamiento de metales; metales ligeros; producción de aluminio,Producción de aluminio,de la producción de aluminio,,,Aero,Acco,,,,,,,,,,21/06/2015 00:00:00,Las empresas analizadas en el informe se dedican a la producción; extrusionado; anodizado y lacado de aluminio.,The companies analysed in the report are involved in the production; extrusion; anodizing and coating of aluminium.,Empresas dedicadas a la producción; extrusionado; anodizado y lacado del aluminio.,Companies involved in the production; extrusion; anodizing and coating of aluminium.,13982,16587,13979,5928,16734,1104,1109,1107,4815,22273,10218,14269,9366,13584,4293,14657,23431,5998,10024,,,,,,
13979,SPALTR,TREFILADOS; LAMINADOS Y ESTIRADOS DE METALES,ALUMINUM TRANSFORMATION,H:\alumtr\,3000,100,Normal,True,4,,133,SPMETPDM3C,,Trefilados; laminados y estirados de metales,del trefilado; laminado y estirado de metales,,,,,,,,,SPMT06;SPALTR;,,,,,16/06/2016 09:30:50,,,,,,,,5927,13979,10218,,,,,,,,,,,,,,,,,,,
5929,SPHC13,AMBULANCIAS,AMBULANCE SERVICES,H:\ambulan\,3000,50,Normal,True,4,,133,SPHEACSM1A,ambulancia; sanidad; medicina; atención sanitaria; transporte de enfermos; transporte de heridos; transporte de accidentados; transporte sanitario; emergencias; urgencias médicas; emergencias médicas,Ambulancias,de las ambulancias,,,Aero,Acco,,,,,,,,,,06/09/2015 00:00:00,The companies analysed in the report provide ambulance service.,Las empresas analizadas en el informe prestan servicios de ambulancia o transporte sanitario.,Empresas que prestan servicios de transporte sanitario o ambulancia.,Companies providing sanitary transport or ambulance services.,23198,6214,,884,14109,14751,23915,4816,14564,14280,9873,16221,,,,,,,,,,,,,
